task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score,run_time_seconds,avg_time_per_sample_seconds,_source
active_to_passive,flan-t5-large,neutral,4,0,False,43,0.0,False,0.03,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
active_to_passive,flan-t5-large,neutral,4,0,False,44,0.0,False,0.03,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\neutral\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,1,0,False,42,0.0,False,0.02,26.280,0.263,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,1,0,False,43,0.0,False,0.02,25.721,0.257,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,1,0,False,44,0.0,False,0.02,25.644,0.256,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,2,0,False,42,0.0,False,0.02,25.794,0.258,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,2,0,False,43,0.0,False,0.02,25.731,0.257,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,2,0,False,44,0.0,False,0.02,25.825,0.258,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,3,0,False,42,0.0,False,0.05,26.025,0.260,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,3,0,False,43,0.0,False,0.05,25.512,0.255,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,3,0,False,44,0.0,False,0.05,25.973,0.260,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
active_to_passive,flan-t5-large,positive,4,0,False,42,0.0,False,0.03,25.676,0.257,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
